id,votos
10000000194,17586.721309271466
10000000195,3261.8507832142827
10000000196,1084.3952836991843
10000000197,795.3272463802261
10000000198,27970.877028958632
10000000199,2419.9584530305565
10000000200,1991.605259708152
10000000201,1482.0217795622439
10000000202,929.3721612151245
10000000205,37500.88924911771
10000000206,514.8748583257475
10000000208,736.9802960215845
10000000209,1182.291566308696
10000000211,3780.016876436004
10000000212,6606.588821874486
10000000214,1530.520402507372
10000000237,8020.100495513454
10000000239,16466.66224893935
10000000241,3706.8315644427594
10000000242,3374.991350592891
10000000243,59445.77761696624
10000000244,4106.759889274737
10000000245,23391.1190016869
10000000246,15031.72003443966
10000000247,6810.723927726248
10000000249,23914.94777424407
10000000250,5671.169427493671
10000000251,31973.222371343458
10000000252,5693.178987296048
10000000253,3903.694786726164
10000000255,31641.695418433887
10000000256,4874.107077714956
10000000257,37257.83053527308
10000000258,5167.4466124423325
20000000006,2083.0035245544877
20000000008,665.4141582911002
20000000014,421.506604148924
20000000015,1184.7664014673073
20000000016,593.3746131633637
20000000017,3483.354574129096
20000000067,2491.8232642374896
20000000068,36280.628819976046
20000000069,156614.94839993576
20000000070,1593.0995197598209
20000000072,1179.8070318039395
20000000073,1413.8998438159522
20000000074,1484.6305354352069
20000000075,1018.1183908820644
20000000076,31770.50530649672
20000000077,2886.6679609324137
20000000078,4961.0930854540275
20000000080,101354.43849599932
20000000081,2589.9498031520607
20000000082,1076.8542789448652
20000000084,1300.5303204016302
20000000283,5391.331378133316
20000000286,1109.795851628227
20000000288,13276.813688781476
20000000289,76832.6846090027
20000000291,1693.0099855187111
20000000292,15651.0056222645
20000000293,134483.10518367737
20000000296,48733.99039158864
20000000298,48567.66965322227
20000000300,8167.818100874493
20000000309,71486.6073013925
20000000310,61675.34343122504
20000000311,5286.845822754125
20000000312,3611.6413888580946
20000000324,652.7448340119561
20000000522,1757.4444381436558
20000000525,85280.44260654063
20000000527,18034.675713250974
20000000541,125692.81572810381
20000000542,34995.22697357165
20000000543,3867.043563905429
20000000549,3538.463789112931
20000000552,3969.3044107782935
20000000558,18296.210233814207
20000000573,4297.222480345194
20000000603,70805.72960809807
30000000009,872.049968025443
30000000019,3580.730872424284
30000000022,719.5693642316594
30000000023,13506.37674272328
30000000024,18367.692487084045
30000000025,697.9583783579022
30000000028,14612.83030553922
30000000029,15494.277464445056
30000000215,2597.4529248810904
30000000216,1736.780534855688
30000000217,8318.693783318598
30000000218,10703.015935661024
30000000220,2300.743850176833
30000000222,19362.613927319104
30000000223,7151.5690349820015
30000000224,5752.6841323212175
30000000225,2107.9672446484096
30000000226,5182.701670763776
30000000227,2356.613277303307
30000000228,7374.029755630228
30000000229,1859.0975134437567
30000000230,9446.295152118762
30000000231,5683.671449065366
30000000232,28784.440271852483
30000000233,4565.636050583503
30000000302,5768.7869638433685
30000000303,5207.361545513748
30000000304,11172.75997750049
30000000305,2294.694873492184
30000000306,857.3844934005937
30000000307,20055.3602766318
30000000308,17420.862830048703
30000000309,9780.589778462892
30000000310,455.7363116181706
30000000311,5094.179209710996
30000000312,5221.379151210605
30000000313,1389.909408542548
30000000314,2915.797082984017
30000000316,2465.1128201831298
